Source/Table Type,Workspace Name,Dataflow Name (Source Name),Table Name (Entity Name),Owner (Bus/Dev),Last Model / Catalog Update,Table/Entity Description,Table/Entity Grain,Dependencies
Custom Tables,(DATA) HC Data Warehouse,Metrics,Metrics FactMetricsServiceWeek (* Use (DATA) HC Data Warehouse > DWH Views > Metrics FactMetricsServiceWeek instead;),,7/18/2022,"*THIS TABLE WILL BE DROPPED* Use (DATA) HC Data Warehouse > DWH Views > Metrics FactMetricsServiceWeek instead;
Table containing metrics information about a service week",,
Custom Tables,(DATA) 3rd Party,ME App Installs,SBCompanion_Installs,Kirk,5/26/2022,"This table contains the latest total Saddle Back Companion app install numbers as defined by leadership for the Google Play store and Apple App store for the designated month.  Google Play store is based on New Users, and the Apple App store is based on first time downloads.",Each row represents one months total number of installs for each app store (see notes in description),
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom PersonLastEngagement,Ron,5/12/2022,"*THIS TABLE IS NO LONGER VALID AND IS PENDING REMOVAL*
Unique, unique person ID for all individuals with the LastEngagmentDate based on the DWH person engagement table.  ExclusionFlag = 1 when
Registered for a Light of the World and/or Grocery Distribution event and event was first contact with the church and only contact based on fact engagement.",Each row represents a person unique ID,
Custom Tables,(DATA) HC Data Warehouse,DWH Views,Metrics FactMetricsServiceWeek,Jeremiah/Ron,5/12/2022,"Joins to the FactMetrics DWH table on Metric ID and provides service week date data for each metric record.
Replaced the prior Metrics FactMetricsServiceWeek that was loaded as part of the DWH tables.",Each row represents the service week data for a particular metric id (unique on metric id not service week data),
Custom Tables,(DATA) Group Manager,Small Group General,public group_activity,Kirk,3/8/2022,This table contains a record with a create date for each time a change was made in group manager that is recorded (based on system design).  The change is record with the date of the change with the modified value in the row.  Change is based on date time and activity type.,Each row represents a single small group activity record (any recorded change on the group manager system for a group),
Standard Table,(DATA) Group Manager,Small Group General,public group_study,Kirk,3/8/2022,"Small group, group study listing.  This table contains all possible group study id and study name combinations.  Note, this is different than the ""study"" no group value, for those see public study table.","Each row represents a single small group, group study",Metrics FactMetrics (orchestrated via Joe Lee Data Warehouse)
Standard Table,(DATA) HC Production,Events,event event,,2/24/2022,,,it populates some flags in other tables
Standard Table,(DATA) HC Production,Events,event event_attendee_occurrence,,2/24/2022,,,
Standard Table,(DATA) HC Production,Custom HC Tables,custom DimSHAPE,Jeremiah/Ron,2/15/2022,Response card data merged together to display SHAPE results toprovide report results as the 301 team requested.  The response card table was used to capture the shape assessment.,Each row represents a unique response card entry id.  Each response card entry id represents a single time an assessment was taken by an individual.,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Grade_Levels,Jeremiah/Ron,2/4/2022,Cross reference for the HC person grade level (in id form) to actual grade level,Each row represents one grade level and its associated HC person grade level / grade id,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Person_HC_Permissions,Heather/Ron,1/24/2022,HC application security roles assigned to a person,Each row represents a unique person and security role combination,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Light_of_the_World_Event_2021,Jeremiah/Ron,11/17/2021,Light of the world registrations with person id as well as number of guests in each signup party.  Table only includes 2021 LOTW signups.,Each row is the event_attendee_occurrence_id which is the unique identifier for each time a registration is made,
Standard Table,(DATA) HC Production,QA,public answer,,11/2/2021,,,
Standard Table,(DATA) HC Production,Service Template,public service_template_outline_person,,11/2/2021,,,
Standard Table,(DATA) HC Data Warehouse,Shared,Shared DimQuestions,,11/1/2021,"Table with information about Questions set up throughout the HC platform. i.e. event registration questions, mobile app questions, website questions, connection card questions (not yet available)",,
Standard Table,(DATA) Group Manager,Small Group General,public vw_campus_xref,Kirk/Ron,10/21/2021,Small group campus id to HC campus id cross reference table.  This table is a manual table maintained by Ron.,One record per small group campus,
Standard Table,(DATA) HC Production,Ministry,public ministry_settings_milestone,Jeremiah/Healthy Church,10/11/2021,,,
Standard Table,(DATA) Group Manager,Small Group Contact,custom Group_Activity (All Contacts),Kirk/Ron,9/24/2021,"All group activity contacts.
Bulk call, text, social media, and personal counts added if the same message (time and content) was sent to multiple groups (count = number of groups contacted).
Bulk email counts for emails where message first 100 and last 100 char match.  
Content flag if there is comment text = 1 else 0.",Each row represents a single contact record sent out (recorded in system).  If same contact applied to multiple groups only one row exists but bulk count columns become populated.,
Standard Table,(DATA) Group Manager,Small Group Contact,custom Group_Activity (Group Health),Kirk/Ron,9/24/2021,All small group P designation and health plan history,Each row represents a change in the status of a small groups p-designation status of health plan status,
Standard Table,(DATA) CMC,CMC Checkins,custom Rooms,Kirk/Ron,9/8/2021,All CMC non-deleted rooms,Each row represents one room in the CMC system identified by RoomID,
Standard Table,(DATA) CMC,CMC Checkins,custom CMC Log In History,Kirk/Ron,9/8/2021,All CMC log in data for last 5 years with calculated service attended date and time,"Each row represents a unique check in event (person, room, time, etc.)",
Standard Table,(DATA) CMC,CMC Checkins,custom Unique Checkins,Kirk/Ron,9/8/2021,Unique record per child who checked in in the last 5 years and the parent associated with that latest check in,"Each row represents a unique child who has checked in in the last 5 years along with his/her latest parent, contact info, and check in date","Metrics FactMetrics
Metrics FactMetricsServiceWeek"
Standard Table,(DATA) CMC,CMC Checkins,custom Recent No Shows,Kirk/Ron,9/8/2021,Children who attended 2x in prior weeks (10-7) and attended 2x in prior weeks (6-3) and did not attended in prior weeks (2-1).  Based on CMC log in data and identifying services by day of the week.,Each row represents a single individual (child) who has not checked in based on the logic in the description,
Standard Table,(DATA) Staffnet,Small Group Health Assessment,dbo SmallGroup_Assessments,Ron,8/20/2021,Small group health assessment summary data for one assessment date/time by one person.  Final scores for each of the five purposes.,Each row represents one assessment for a person at a particular time for a specific small group,public ministry_member_status_history
Standard Table,(DATA) Staffnet,Small Group Health Assessment,dbo HealthPlanner_Individuals_NextSteps,Ron,8/20/2021,Individual health assessment planner next steps for individuals and the status and due date for the next step,Each row represents a single next step item per individual,None
Standard Table,(DATA) Staffnet,Small Group Health Assessment,dbo HealthPlanner_NextSteps,Ron,8/20/2021,"Individual health assessment planner, next steps table with general next steps as well as custom next steps that individuals input","Each row represents one possible next step item, with NextStepID as key",None
Standard Table,(DATA) HC Data Warehouse,Person,People DimTouchpoint,,7/26/2021,"IncludeInReporting is a flag that is used in to indicate if the touchpoint should be be loaded to the reporting tables during the ETL loads
Table containint metadata for touchpoints or person engagements with the Church. This can go from a key mileston like accepted Christ to simpler data points like logged in into Healthy church",,None
Standard Table,(DATA) HC Data Warehouse,Person,People PersonEngagement,,7/26/2021,"• Table is large in the order of millions of rows
• SOURCE = Health Church; Staffnet (legacy one-time load);Excel file with CLASS milestones since 1980 (legacy one-time load).
• Table containing detail of every touchpoint that each person has had with the Church at specific campus/locations
• contains a confidential touchpointID = 61 for ""Last Giving Date"" stretching back to 2010
• ""Watched a Video"", ""Read a Document"", and ""Listened to an Audio"" only include Journey related media a person engaged with (6/2024)",one row per person per touchpoint per campus per day,None
Standard Table,(DATA) HC Data Warehouse,Shared,Summary CampusRegionJunction,,7/26/2021,Table that shows joins of campus to regions,,
Standard Table,(DATA) HC Data Warehouse,Shared,Shared DimVenue,,7/26/2021,Table containing metadata for venues as creatd in HC,,
Standard Table,(DATA) HC Data Warehouse,Shared,Summary Region,,7/26/2021,Table containing metadata for different regions as defined by the organization,,
Standard Table,(DATA) HC Data Warehouse,Shared,Shared DimTime,,7/26/2021,Calendar table representing time for key date metrics stored in the warehouse,,
Standard Table,(DATA) HC Data Warehouse,Shared,Shared DimDateTime,,7/26/2021,"*THIS TABLE HAS BEEN DROPPED* Use custom DimDate and/or Shared DimTime instead;
Date and time table for Metrics and service references. To be deprecated by DimDate table",,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventSchedule,,7/26/2021,"this table can be used as a dimension table to read the Events DimEventOccurrence table
Table containing information about the schedule for events","one row per event schedule, i.e. a group of dates that is tied to one or more events",
Standard Table,(DATA) HC Data Warehouse,Events,Summary EventRegistrationQuestions,,7/26/2021,Table with information about people's responses to event registration questions,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventTag,,7/26/2021,Table with information about event tags as defined on HC,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventPublication,,7/26/2021,Table with information about event publication to online platforms. A publication makes the event visible to people through tenant website or other event platforms like eventbrite,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEvent,,7/26/2021,Table containing metadata for Events records,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventOccurrence,,7/26/2021,Table containing information for specific event ocurrences. i.e. A one time event has only one ocurrence. A recurring event has multiple ocurrences,"one row per event instance. If an event (e.g. CLASS) is repeated, then it will have multiple event occurrences",
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventScheduleEntityType,,7/26/2021,Table containing information about the type of event and event schedule for a specific event,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventContact,,7/26/2021,Table containing information about the contact person for events as defined on HC,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventAttendeeOccurrence,,7/26/2021,"Table containing information about people who registered for events for one, some, or all ocurrences",,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimEventScheduleSequence,,7/26/2021,"Table containing further information about event schedules, including recurrence patterns, start date, end date, etc.",,
Standard Table,(DATA) HC Data Warehouse,Events,Events FactEvents,,7/26/2021,Fact table containing metrics about events created and managed on HC,,
Standard Table,(DATA) HC Data Warehouse,Events,Events DimWorshipServiceCategory,,7/26/2021,Dimension table for Worship Service categories created on HC,,
Standard Table,(DATA) HC Data Warehouse,Metrics,Metrics FactMetrics,,7/26/2021,Table with metrics as events or services metrics as captured on HC or brought in from historical metric sources,,
Standard Table,(DATA) HC Data Warehouse,Metrics,Metrics DimDemographic,,7/26/2021,Dimension table for the different demographic groups contained in the warehouse,,
Standard Table,(DATA) HC Data Warehouse,Metrics,Metrics DimEventType,,7/26/2021,Dimension table containing metadata for the different event types as recorded on HC,,
Standard Table,(DATA) HC Production,Ministry,public ministry_member_source,Jeremiah/Healthy Church,7/23/2021,"sources can include SHAPE, In Person, etc.",one row per per ministry per campus per person,
Standard Table,(DATA) HC Production,Ministry,public ministry_member_status_history,Jeremiah/Healthy Church,7/23/2021,"when the grain says ""per ministry member id,"" this is equivalent to per ministry per campus per person",one row per ministry member id per status,
Standard Table,(DATA) HC Production,Ministry,public serving_opportunity,Jeremiah/Healthy Church,7/23/2021,,,
Standard Table,(DATA) HC Production,Ministry,public serving_opportunity_settings,Jeremiah/Healthy Church,7/23/2021,,,
Standard Table,(DATA) HC Production,Ministry,public serving_opportunity_settings_milestone,Jeremiah/Healthy Church,7/23/2021,,,
Standard Table,(DATA) HC Production,Ministry,public serving_opportunity_volunteer,Jeremiah/Healthy Church,7/23/2021,,,
Standard Table,(DATA) HC Production,Ministry,public serving_opportunity_volunteer_occurrence,Jeremiah/Healthy Church,7/23/2021,,,
Standard Table,(DATA) HC Production,Notifications,notification notification,Jer,7/23/2021,,one row per communication message,
Standard Table,(DATA) HC Production,Person,public milestone,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public person_address,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public person_contact_preference,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public person_milestone,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public person_phone,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public person_relationship,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,public view_person_email,,7/23/2021,,,
Standard Table,(DATA) HC Production,Person,yes,,7/23/2021,,,
Standard Table,(DATA) HC Production,Shared,public church_entity,,7/23/2021,,,
Standard Table,(DATA) HC Production,Shared,public team,,7/23/2021,,,
Standard Table,(DATA) HC Production,Shared,public team_member,,7/23/2021,,,
Standard Table,(DATA) HC Production,Events,event event_attendee,,7/23/2021,,,
Standard Table,(DATA) HC Production,Events,event occurrence,,7/23/2021,,,
Standard Table,(DATA) HC Production,Events,event schedule,,7/23/2021,,,
Standard Table,(DATA) HC Production,Events,event schedule_entity_type,,7/23/2021,,,
Standard Table,(DATA) HC Production,Events,event schedule_sequence,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,public task,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,public task_assignment_history,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,public task_subject,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,public task_template,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,workflows rule,,7/23/2021,,,
Standard Table,(DATA) HC Production,Followups,workflows rule_entity_condition,,7/23/2021,,,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Central_Household,Kirk/Ron,7/22/2021,"Household name and person 1 and 2 id's.  Single individuals will also show,but without person 2 info.",Each row represents one household (custom logic for spouses).,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Relationship_ChildParent,Kirk/Ron,7/22/2021,"This file helps to identify a child's two parents (errors are flagged, in Address_Match_Ind, see below) and display the child's, name address, contact info, and parents names.
*Address_Match_Ind
Assign code per rules below:
1 = Child address matches parent 1 only (or only P1 exists and address matches)
2 = Child address matches parent 1 and 2 (and both P1 and P2 exist)
3 = Child address matches neither parent address
4 = More than 2 parents exists (indicates an error that needs to be fixed in data)
5 = Multiple same gender parent",Each row represents one child (person) record,
Standard Table,(DATA) HC Production,Custom HC Tables,custom PersonMerged,Kirk/Ron,7/22/2021,"This file contains all HC person record merges.  The source person id is the person id (record) before the merge and the target person id is the person record it was merged into.
Source and target person id is the person unique id.",Each row represents a person record merge that occurred in the HC log file.  This file is unique per merge occurrence not per person.,
Standard Table,(DATA) HC Production,Custom HC Tables,custom Person_HC_URL,Kirk/Ron,7/22/2021,"This table provides a cross reference to get an individuals Healthy Church person record link (takes you directly to the person in HC online).
The person_id in this table is the person HC id not unique id.",Each row represents one person in HC,
Standard Table,(DATA) HC Production,Custom HC Tables,reports Countries,Kirk/Ron,7/22/2021,This table acts as a cross reference to allow the user to get the full country name if only the 2 or 3 character code is provided for the country in HC or the DWH.,Each row represents one country,
Standard Table,Giving,Failed Trickle Attempts,vw_FailedTrickleAttempsII,Ron,7/22/2021,Custom table for Ron's Failed Trickle Attempts Report,,
Standard Table,(DATA) Mission 3rd Party,Focus Mission,TripParticipants,Fernando,7/22/2021,Focus Missions table that contains person level data.  Table should contain ALL Focus Missions person level data (no filters).,"Each row represents an individual going on a particular mission trip.
Unique identifier is a combination of PartitionKey and RowKey.
PartitionKey in this file joins to the RowKey on the Trips file.",
Standard Table,(DATA) Mission 3rd Party,Focus Mission,Trips,Fernando,7/22/2021,Focus Missions table that contains trip level data.  Table should contain all Focus Missions trip level data (no filters).,"Each row represents one mission trip.
Row key is the unique identifier.",
Standard Table,(DATA) Mission 3rd Party,Focus Mission XRef,custom TripParticipants_XRef,Jeremiah,7/22/2021,"Cross reference table to join a Focus Mission trip participant to a HC person. Developed by the R&I team and designed and tested to be used to provide a single methodology to join the person records from two different systems.
This table was constructed referencing both FocusMission and HC data tables which are hidden within this dataflow.","Each row represents a single person (participant row key) from the Trip Participants file.  
Not a single person on the HC person side (multiple participant row keys can join to a single HC person id).",
Standard Table,(DATA) Mission 3rd Party,Food Pantry Data,FoodPantry_Data20,Kirk,7/22/2021,"Food pantry data captured and entered into the Mission team jot form.
This data is from an excel file that the Mission Team uploads to SharePoint  and only contains 2020 data.",Each row represents one food pantry event,
Standard Table,(DATA) Mission 3rd Party,Food Pantry Data,FoodPantry_Data21,Kirk,7/22/2021,"Food pantry data captured and entered into the Mission team jot form.
This data is from an excel file that the Mission Team uploads to SharePoint  and only contains 2021 data.",Each row represents one food pantry event,
Standard Table,(DATA) Mission 3rd Party,Food Pantry Data,FoodPantry_RU,Kirk,7/22/2021,"Food pantry file campus to level 1 and level 2 roll up.  This is report specific data and should only be used in conjunction with the other Food Pantry data files.
This data is from an excel file that the Mission Team uploads to SharePoint.",Each row represents one campus option on the food pantry report (note that what the food pantry report recognizes as a campus does not match HC campuses),
Standard Table,(DATA) ID Server,General,public LoginLog,Fernando,7/22/2021,For HC developer use,,
Standard Table,(DATA) ID Server,General,public AspNetUsers,Fernando,7/22/2021,For HC developer use,,
Standard Table,(DATA) ID Server,General,public EventLog,Fernando,7/22/2021,For HC developer use,,
Standard Table,(DATA) 3rd Party,Google Analytics,Session_Timestamp,Fernando,7/22/2021,,,
Standard Table,(DATA) Media,Media Engagements,custom All_Media,Kirk/Ron,7/22/2021,"All media titles on the system with rollups for series and category.
This does not contain any watch metrics.",Each row represents a single media title where MediaID is key.,
Standard Table,(DATA) Media,Media Engagements,custom Small_Group_Curriculum_Watched,Kirk/Ron,7/22/2021,All watch history from the media server (for the small group curriculum) with the media name and the id of the individual or small group (depending on user selection) of the viewer.  Includes all records except for deleted view record.,Each row represents an engagement (watch) by an individual or small group for a particular media title (media id) on a specific day,
Standard Table,(DATA) Media,Media Engagements,custom Engagements_By_Location,Kirk/Ron,7/22/2021,Media library access log clicks on videos down to title and city (of ip address) level.  Contains all data for last 2 years from run date.  Table keeps only a single record for each IP address per video per day.,"Each row represents a summary of total views over the entire 2 years by a specific media title (media id) and location (region, city, state, and zip)",
Standard Table,(DATA) Mission 3rd Party,Peace GS,custom PersonTrip_Static,Kirk/Ron,7/22/2021,"All Peace GS person and trip data with HC Unique ID join at rundate, based on email, first name, last name match.  Removed duplicate entries for participant and leader so only leader record shows per trip.  This data is static since this system is not is use any longer.",Each row represents one individual per mission trip.,
Standard Table,(DATA) Staffnet,Response Card Hist,custom Legacy_Response_Cards_Submitted,Ron,7/22/2021,Legacy response card data from Staffnet.  Jan 2018-Feb 2018.  Count data rolled up to the campus level and service date.  This is a static data table.,Each row represents a unique service response card form (form name and service date),
Standard Table,(DATA) Staffnet,Service Metrics,dbo vw_BaptismAndSalvations,Ron,7/22/2021,Baptism and salvation counts from Staffnet mobile attendance for all records.,Each row represents a unique service (campus and time),
Standard Table,(DATA) Group Manager,Small Group General,public Participant,Kirk/Ron,7/22/2021,"Participant table from Group Manager, no filters.
Id_user = person unique id",One record exists for each person and group combination.,Shared.DimVenue
View,(DATA) Group Manager,Small Group General,public Study,Kirk/Ron,7/22/2021,"Small group study table from Group Manager, no filters",Each row represents one small group study,"Metrics.FactMetrics, Metrics.FactMetrics

"
Standard Table,(DATA) Group Manager,Small Group General,public User_Account,Kirk/Ron,7/22/2021,"User account table from Group Manager, no filter. 
Id = person unique id",One record per person,
Standard Table,(DATA) Group Manager,Small Group General,custom Profile,Kirk/Ron,7/22/2021,"Entire small group profile table with LT1, LT2, Healthplan, and Campus info (from group manager)
Id = person unique id",Each row represents a unique person (id column represents persons unique Id),
Standard Table,(DATA) Group Manager,Small Group General,custom Small_Group,Kirk/Ron,7/22/2021,"Entire small group table with added: CP name and email, LC name and email, ACL name and email, host name and email, campus name, small group URL, designation and health plan date, country, region, language.
Note that status = 0 is active and 1 = inactive, 2 = pending",Each row represents a single small group,
Standard Table,(DATA) Group Manager,Small Group General,public Campus,Kirk/Ron,7/22/2021,Campus table for Group Manager no filters,Each row represents a single campus,
Standard Table,(DATA) Group Manager,Small Group General,custom User_Account_Interested_URL,Kirk/Ron,7/22/2021,"All individuals with a current role of interested and a URL that points to that individual in Group Manager.
Id ties to person unique id",Each row represents one unique person who is interested in joining one or more small groups and is still in the interested status,
Standard Table,(DATA) Group Manager,Small Group General,public Group_Tag,Kirk/Ron,7/22/2021,Small group tags,Each row represents a combination of the tag assigned and the small group it is assigned to,
Standard Table,(DATA) Group Manager,Small Group History,public vw_Reports_Small_Groups_History,Kirk/Ron,7/22/2021,"All small group activity history for small group open and close (status change and date).
*Non material issue was identified where groups that opened then closed and then opened again did not display correctly in this report.  In second instance open date displayed original open date and if group re-opened after closing without closing again, no second record was created to indicate open again.",Each row represents a change in the status of a small group (open or close).  See * in description as this table is not working completely as expected,
Standard Table,(DATA) Group Manager,Small Group History,custom Small_Group_History,Kirk/Ron,7/22/2021,Month end small group totals by campus.  Records are aggregated based on the small group activity log.,Each row represents a summary based on the month end date and small group campus,
Standard Table,(DATA) Group Manager,Small Group History,custom Small_Group_Status_Monthly_History,Kirk/Ron,7/22/2021,Monthly total active and inactive groups by campus based on small group activity log data,Each row represents a summary based on the month end date and small group campus,
Standard Table,(DATA) Staffnet,Volunteer Checkins,custom Volunteer_Hours,Kirk/Ron,7/22/2021,Staffnet bling in and out data.  All data for the past 2 years are included per refresh date.,Each row represents a single bling in and out by an individual,
Standard Table,(DATA) Staffnet,Volunteer Checkins,custom Departments,Kirk/Ron,7/22/2021,Department name cross reference for the Staffnet bling in data.,Each row represents a unique department in Staffnet,
